Timestamp,Do you prefer a gas or electric stovetop?,For how long are you looking to rent?,How many rooms do you want?,What is your budget for rent?,How many bathrooms do you want?,How important is it that you have a master bedroom?,How important is it that you have a storage unit?,How important is it that you a balcony/garden?,How important is it that you have also an electric heater (דוד חשמל) and a regular heater (דוד שמש)?,"How important, is it that you have an air-conditioner in every bedroom? ",How important is it that you have personal parking spot(s)?,How Important is it that you have a kosher Kitchen?,How important is it that you have bus routes near you?,Does it matter if the apartment is next to a school or a apartment complex under construction?,Does it matter to you to be in a building that can undergo construction in the coming year/two years?,Would you rather your neighbors be students or families?,Do you prefer your neighbors be families or singles?,Is it important that your neighbors be students,Is it Important that your neighbors be families?,What type of neighborhood are you looking for?,How Important is it that your apartment come furnished?,How important that the apartment be pet friendly?,How important that the apartment be smoke friendly?,How important that the apartment have a big livingroom?,On which Floor would you want the apartment to be on?,How important is it which floor you are on?,How important that the apartment have elevator access?,Where are you looking for an apartment?,City
5/19/2022 8:12:17,4,A Year,3,2100-3000,1.5,3,3,5,3,4,2,5,5,4,4,3,3,1,1,"Traditional, Dati Leumi",4,5,1,3,"Ground, First",1,3, ,1
5/19/2022 8:22:13,3,"A Year, 2 years","2, 3, 4",2100-3000,2,1,3,5,4,2,1,1,5,4,3,3,3,4,2,"Not Religious, Traditional",4,5,1,3,"Ground, Fourth",2,4, ,0
5/19/2022 12:59:23,3,"Half a Year, A Year","1, 2","3100-4000, 4100-5000",1,4,2,2,4,2,1,5,5,3,3,1,5,3,3,Dati Leumi,4,3,1,4,"Ground, First",2,3, ,1
5/19/2022 13:06:26,1,"A Year, 2 years","3, 4, 5","1000-2000, 2100-3000",2,3,3,2,3,3,1,4,5,3,5,3,4,2,2,"Not Religious, Traditional, Dati Leumi",4,2,1,4,"Ground, Fourth",1,2,Jerusalem ,1
5/19/2022 13:32:10,4,"Half a Year, A Year","3, 4",2100-3000,2,3,3,3,3,4,1,5,5,3,1,,5,1,1,Dati Leumi,4,1,1,4,"Ground, First",1,5, ,1
5/19/2022 14:43:56,5,2 years,5,7100-8000,2,5,5,5,3,5,5,5,3,5,5,1,1,1,5,,1,1,1,5,Fourth,3,5, ,0
5/19/2022 15:28:58,3,A Year,4,"5100-6000, 6100-7000, 7100-8000",1,1,1,3,2,4,1,2,4,1,3,3,3,3,3,Dati Leumi,3,1,1,3,,2,4,Jerusalem ,1
5/19/2022 16:27:51,2,"A Year, 2 years",3,"2100-3000, 3100-4000",2,5,4,5,4,5,5,5,5,5,5,4,4,2,2,"Not Religious, Traditional, Dati Leumi",3,4,1,4,Second,4,5, ,
5/19/2022 19:56:32,4,A Year,4,1000-2000,1.5,2,3,3,5,3,1,5,3,1,4,4,4,5,5,Dati Leumi,4,1,1,3,"Second, Third, Fourth",1,2, ,1
5/19/2022 21:37:33,5,A Year,3,"1000-2000, 2100-3000",1.5,5,2,5,5,1,1,1,5,5,5,1,3,1,1,"Not Religious, Traditional",5,5,1,4,"Second, Third, Fourth",4,1,Haifa,1
5/19/2022 21:39:40,5,A Year,2,1000-2000,1,5,3,5,4,3,2,5,5,5,3,2,3,1,3,"Not Religious, Traditional, Dati Leumi",3,5,3,3,First,3,1, ,0
5/19/2022 21:46:42,3,A Year,2,4100-5000,1.5,5,1,3,2,4,1,4,5,4,3,3,3,2,2,"Not Religious, Traditional, Dati Leumi",4,1,1,4,"First, Second",2,3, ,1
5/19/2022 21:48:59,4,2 years,4,7100-8000,2,4,3,5,4,4,2,5,5,3,5,3,3,3,3,"Not Religious, Traditional, Dati Leumi",2,4,1,3,Ground,4,3,Beer Sheba,1
5/19/2022 21:49:22,5,2 years,4,4100-5000,1.5,3,3,4,5,4,1,4,5,3,5,1,1,1,5,"Dati Leumi, Charedi",1,2,1,5,"First, Second",3,4,Beer Sheba,
5/19/2022 22:05:01,1,A Year,"3, 4",2100-3000,1.5,3,2,5,4,3,4,5,5,5,5,1,3,1,4,Dati Leumi,1,5,5,3,Ground,5,2,Beer Sheba,1
5/19/2022 22:05:12,5,2 years,3,7100-8000,2,5,3,5,5,5,1,1,3,3,5,1,3,1,3,Not Religious,1,1,1,3,Fourth,2,3,Beer Sheba,1
5/19/2022 22:06:34,4,"Half a Year, A Year","2, 3",1000-2000,1,3,3,5,4,4,2,2,5,3,4,4,3,3,3,"Not Religious, Traditional",4,3,5,4,"Ground, First, Second",4,4, ,1
5/19/2022 22:06:49,5,A Year,"3, 4, 5","1000-2000, 2100-3000",1.5,4,3,3,3,2,1,5,5,4,2,4,4,3,3,"Traditional, Dati Leumi",5,2,1,4,,1,2, ,1
5/19/2022 22:08:43,4,"A Year, 2 years","2, 3, 4","3100-4000, 4100-5000, 5100-6000",2,1,1,3,4,3,1,5,5,4,4,4,3,3,3,Dati Leumi,4,1,1,4,Ground,3,1, ,1
5/19/2022 22:08:49,3,2 years,3,3100-4000,1,3,3,5,5,4,3,3,5,4,4,3,3,3,3,Traditional,1,5,5,5,Second,5,3, ,1
5/19/2022 22:11:24,5,"1 Month, 2 Months","3, 4","3100-4000, 4100-5000",1.5,2,2,4,2,3,1,5,5,2,5,2,2,2,2,Dati Leumi,1,1,1,5,"Ground, First",5,1,Jerusalem ,1
5/19/2022 22:12:34,4,Half a Year,"3, 4","3100-4000, 4100-5000",2,2,3,4,3,4,5,5,5,5,5,3,3,1,1,"Not Religious, Traditional, Dati Leumi, Charedi",2,1,1,5,"Ground, First, Second",5,4, ,1
5/19/2022 22:14:50,4,2 years,5,7100-8000,2,5,4,5,4,5,5,2,4,4,4,3,3,1,3,"Not Religious, Traditional",1,1,1,5,Fourth,4,5, ,1
5/19/2022 22:16:06,3,2 years,3,3100-4000,1,1,3,5,4,3,1,3,5,5,5,1,1,1,4,"Traditional, Dati Leumi",2,5,1,2,"Ground, First",5,5, ,1
5/19/2022 22:19:21,5,2 years,2,3100-4000,1,1,1,5,1,5,1,5,5,3,5,1,1,1,5,Charedi,4,1,1,4,"First, Second",5,1, ,1
5/19/2022 22:20:07,5,2 years,"2, 3, 4",5100-6000,1.5,3,3,5,5,2,2,4,4,5,4,2,3,2,3,"Not Religious, Traditional",1,5,1,4,"Ground, First, Second",3,2, ,
5/19/2022 22:20:31,5,"A Year, 2 years","3, 4, 5","4100-5000, 5100-6000, 6100-7000",2,4,4,3,4,5,4,5,2,3,5,2,1,1,4,Dati Leumi,2,1,1,4,,2,5, ,
5/19/2022 22:25:47,3,"A Year, 2 years","1, 2, 3","1000-2000, 2100-3000",1.5,1,3,3,4,3,1,5,5,1,3,3,4,2,1,Traditional,3,3,2,3,"Ground, First",2,3,Jerusalem ,1
5/19/2022 22:28:31,5,2 years,"2, 3",4100-5000,1.5,3,4,5,5,5,4,1,5,3,4,3,3,3,3,"Not Religious, Traditional",3,5,5,5,"First, Second, Third, Fourth",3,3, ,1
5/19/2022 22:30:45,5,A Year,3,"1000-2000, 2100-3000, 3100-4000",2,1,4,4,4,5,5,5,3,4,5,1,2,1,3,"Dati Leumi, Charedi",3,1,1,4,"Ground, First",5,2,Otef Azza,0
5/19/2022 22:34:07,3,A Year,"3, 4",1000-2000,1.5,2,4,4,5,5,2,5,5,4,4,3,4,3,4,"Traditional, Dati Leumi",5,4,1,4,"Ground, First, Second",4,2,Otef Azza,0
5/19/2022 22:34:34,5,"A Year, 2 years",2,"3100-4000, 4100-5000",1,1,1,3,3,5,1,5,5,5,5,2,5,1,4,"Traditional, Dati Leumi",3,5,1,3,"Third, Fourth",5,1, ,1
5/19/2022 22:37:02,5,A Year,4,"4100-5000, 5100-6000",2,3,3,5,5,5,2,3,5,4,5,1,1,3,4,Dati Leumi,1,3,1,3,"Second, Third",4,4, ,1
5/19/2022 22:38:03,1,A Year,3,4100-5000,1.5,3,4,4,3,4,5,1,3,5,5,1,3,1,4,"Not Religious, Traditional",1,5,1,3,"Ground, First",3,5, ,1
5/19/2022 22:39:18,4,A Year,2,"2100-3000, 3100-4000",1,1,3,3,5,5,3,1,5,4,5,3,3,3,3,"Not Religious, Traditional",2,3,3,5,"First, Second, Third, Fourth",4,3, ,1
5/19/2022 22:39:36,5,"A Year, 2 years","2, 3, 4","1000-2000, 2100-3000, 3100-4000",1.5,1,2,1,2,3,4,2,5,5,5,3,3,3,3,"Not Religious, Traditional",1,5,3,3,"Second, Third, Fourth",3,3, ,1
5/19/2022 22:41:26,5,A Year,6,2100-3000,2,1,3,4,5,3,5,3,1,3,4,3,3,3,3,"Not Religious, Traditional",1,3,1,3,First,1,3, ,1
5/19/2022 22:42:35,5,2 years,2,"2100-3000, 3100-4000",1,1,5,3,3,5,1,3,5,5,5,1,3,3,3,Traditional,1,1,1,3,"First, Second",5,5, ,1
5/19/2022 22:43:29,1,"A Year, 2 years","2, 3","1000-2000, 2100-3000",1.5,1,5,4,5,4,1,1,3,3,5,5,5,3,3,"Not Religious, Traditional",3,5,2,3,"Ground, First",5,3,Beer Sheba,1
5/19/2022 22:44:49,3,"A Year, 2 years","4, 5","3100-4000, 4100-5000, 5100-6000",1.5,5,5,5,4,5,4,5,5,3,4,1,1,3,5,"Traditional, Dati Leumi",3,1,2,5,"Ground, Second",2,5,Beer Sheba,
5/19/2022 22:48:32,5,"Half a Year, A Year",4,"3100-4000, 4100-5000, 5100-6000",2,5,3,4,4,4,4,4,4,3,4,4,2,2,4,Dati Leumi,3,1,1,2,"First, Second",2,5,Beer Sheba,1
5/19/2022 22:49:38,3,"A Year, 2 years","1, 2, 3","1000-2000, 2100-3000, 3100-4000",1.5,2,4,5,3,5,1,5,5,3,4,3,3,2,3,"Not Religious, Traditional",4,2,1,3,"Ground, First",3,2,Beer Sheba,1
5/19/2022 22:55:27,5,"A Year, 2 years",4,5100-6000,2,4,5,5,5,5,1,4,5,5,5,1,3,1,4,Traditional,1,1,1,3,"First, Second",5,5, ,1
5/19/2022 22:57:35,5,2 years,"3, 4","1000-2000, 2100-3000",1.5,1,2,5,5,3,2,5,5,3,3,3,3,4,3,"Not Religious, Traditional, Dati Leumi",1,1,1,5,"Ground, First, Second, Third",3,4, ,1
5/19/2022 23:00:11,3,2 years,4,6100-7000,1.5,3,3,5,3,5,2,5,4,5,5,1,1,1,1,Dati Leumi,1,5,1,5,"Ground, First",5,5, ,1
5/19/2022 23:00:43,3,"2 Months, Half a Year, A Year",3,"5100-6000, 6100-7000, 7100-8000",2,1,3,3,3,4,1,3,5,5,3,3,3,1,1,"Traditional, Dati Leumi",5,1,2,3,"Ground, First",5,3, ,1
5/19/2022 23:01:23,1,"A Year, 2 years",2,"2100-3000, 3100-4000",1,4,2,2,4,2,2,1,5,4,5,3,4,3,4,Not Religious,4,1,1,1,"Ground, First, Second",3,2, ,1
5/19/2022 23:05:24,5,2 years,"2, 3, 4","5100-6000, 6100-7000",1,4,2,5,4,4,1,1,5,3,4,1,3,1,3,"Not Religious, Traditional",1,5,1,3,"Ground, First",4,1, ,
5/19/2022 23:07:05,5,2 years,"3, 4, 5",3100-4000,1.5,4,3,4,4,4,3,2,2,4,4,3,3,3,3,Dati Leumi,2,2,1,3,"Ground, First",2,4,Otef Azza,0
5/19/2022 23:07:13,5,"A Year, 2 years","4, 5","3100-4000, 4100-5000",1.5,3,4,4,2,2,2,5,3,3,4,2,3,1,4,Dati Leumi,1,5,1,4,"Ground, First",1,4,Otef Azza,0
5/19/2022 23:10:43,5,2 years,"4, 5",3100-4000,2,2,2,5,5,3,1,5,5,5,5,1,1,1,4,"Traditional, Dati Leumi",1,5,1,5,"Second, Third",2,3,Jerusalem ,1
5/19/2022 23:10:57,5,A Year,5,3100-4000,2,5,5,5,5,3,2,5,5,3,5,1,1,1,5,Dati Leumi,3,3,3,5,"Ground, First",5,5,Otef Azza,0
5/19/2022 23:20:36,5,"A Year, 2 years",2,4100-5000,1,2,4,4,5,5,3,1,4,4,5,3,3,2,3,,2,4,5,4,"First, Second",2,2, ,1
5/19/2022 23:21:57,5,A Year,3,4100-5000,2,3,3,3,5,5,5,3,4,5,5,1,1,3,4,Not Religious,3,1,3,3,Second,3,5,Otef Azza,0
5/19/2022 23:22:03,5,"A Year, 2 years","2, 3, 4","1000-2000, 2100-3000, 3100-4000",1.5,1,3,3,4,5,1,5,5,3,3,4,3,3,3,"Not Religious, Traditional, Dati Leumi",3,3,1,5,"Ground, First",4,5, ,
5/19/2022 23:22:31,5,"A Year, 2 years","2, 3","3100-4000, 4100-5000",1,3,3,5,3,3,1,1,5,5,4,5,5,5,1,Not Religious,3,3,2,4,"Ground, First, Second, Third, Fourth",1,1, ,1
5/19/2022 23:27:18,4,"Half a Year, A Year","2, 3, 4","3100-4000, 4100-5000",2,3,2,3,5,5,2,5,5,2,3,3,4,1,1,Dati Leumi,4,1,1,4,"First, Second",4,3,Jerusalem ,1
5/19/2022 23:28:00,5,2 years,4,5100-6000,2,5,4,5,5,5,2,2,5,5,5,1,1,1,5,Traditional,1,5,1,4,Fourth,4,5, ,1
5/19/2022 23:30:57,1,A Year,2,4100-5000,1,5,3,5,5,5,5,1,5,5,5,3,3,3,3,Not Religious,1,2,4,4,Second,1,5, ,1
5/19/2022 23:34:17,5,"A Year, 2 years","1, 2",3100-4000,1,1,2,4,5,5,2,5,5,5,5,4,5,1,1,"Traditional, Dati Leumi, Charedi",1,5,1,1,"Ground, First",4,1,Jerusalem ,1
5/19/2022 23:35:35,5,2 years,4,4100-5000,1.5,4,5,5,5,4,5,5,5,3,5,5,5,4,4,"Traditional, Dati Leumi",1,5,1,5,Fourth,5,3,Otef Azza,0
5/19/2022 23:38:56,5,A Year,"3, 4",4100-5000,1.5,4,2,4,5,5,4,5,4,5,4,2,3,3,3,Dati Leumi,1,1,1,5,"Ground, First",4,3, ,1
5/19/2022 23:40:46,5,"A Year, 2 years","3, 4, 5","1000-2000, 2100-3000, 3100-4000",1.5,1,2,2,5,3,1,5,5,3,3,3,3,3,3,"Not Religious, Traditional, Dati Leumi",4,4,1,4,"Ground, First",3,4,Jerusalem ,1
5/19/2022 23:41:07,4,"A Year, 2 years","3, 4","3100-4000, 4100-5000",1.5,3,4,1,3,5,1,4,5,4,3,2,2,3,3,Dati Leumi,1,4,5,4,"Ground, First",1,1, ,1
5/19/2022 23:41:17,5,"A Year, 2 years",4,"3100-4000, 4100-5000",1.5,1,2,4,5,3,2,5,5,3,5,3,3,1,1,"Traditional, Dati Leumi, Charedi",1,1,1,3,"Ground, First",5,5,Otef Azza,0
5/19/2022 23:41:49,5,"A Year, 2 years","5, 6","2100-3000, 3100-4000, 4100-5000",2,4,3,5,1,1,5,5,2,3,2,2,1,1,3,"Traditional, Dati Leumi",3,4,1,5,Ground,5,5,Otef Azza,0
5/19/2022 23:42:51,5,A Year,"1, 2, 3","1000-2000, 2100-3000",1,1,1,4,5,5,1,5,5,3,4,3,3,1,1,Dati Leumi,4,1,1,4,"First, Second",4,3, ,1
5/19/2022 23:47:56,1,"2 Months, Half a Year","2, 3",5100-6000,1,3,3,5,5,5,4,5,5,5,2,5,3,4,4,Traditional,3,5,1,5,"Second, Third",5,1, ,1
5/19/2022 23:48:33,5,,5,6100-7000,2,5,5,5,5,5,5,1,4,4,5,3,3,3,3,Not Religious,3,4,1,4,Ground,5,5, ,1
5/19/2022 23:48:45,3,A Year,2,2100-3000,1,1,3,1,1,1,1,5,5,4,4,1,3,1,4,Charedi,3,1,1,2,Second,2,3, ,1
5/19/2022 23:50:05,1,2 Months,1,2100-3000,1,1,2,5,3,5,1,5,5,1,1,1,1,1,5,"Traditional, Dati Leumi",5,1,2,1,Second,2,2, ,1
5/19/2022 23:50:37,1,"A Year, 2 years",3,6100-7000,1.5,1,1,3,5,4,1,1,5,5,5,3,3,1,1,Not Religious,3,4,4,4,Second,4,4, ,1
5/19/2022 23:51:27,5,2 years,"5, 6",7100-8000,2,5,4,5,5,5,5,5,3,4,5,1,3,1,5,Dati Leumi,1,1,1,5,"Ground, Fourth",5,5, ,1
5/19/2022 23:53:01,5,2 Months,"4, 5, 6","3100-4000, 4100-5000, 5100-6000",2,5,3,4,5,5,4,5,5,5,5,1,1,1,5,Dati Leumi,1,1,1,4,"First, Second",5,3, ,
5/19/2022 23:53:03,1,"A Year, 2 years","2, 3","3100-4000, 4100-5000",1,1,1,4,5,3,1,3,5,4,5,1,1,1,5,"Traditional, Dati Leumi",1,5,1,4,"Ground, First",5,3, ,1
5/19/2022 23:55:44,5,A Year,2,1000-2000,1.5,1,3,1,5,5,2,5,5,3,4,3,4,2,3,Traditional,5,5,4,3,First,1,5, ,1
5/19/2022 23:56:31,4,2 years,5,"5100-6000, 6100-7000",2,5,5,5,5,3,4,4,4,4,5,2,2,2,4,Traditional,1,5,1,5,Ground,5,3, ,1
